Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Search, 300, 1.964571, 1.964571
Search, 300, 6.680977, 8.645548
Search, 300, 4.926505, 13.57205
Search, 300, 3.078325, 16.65038
Search, 300, 1.66345, 18.31383
Search, 300, 6.610677, 24.9245
Search, 300, 3.18193, 28.10643
Search, 300, 3.986002, 32.09243
Search, 300, 5.179117, 37.27155
Search, 300, 5.238611, 42.51016
Search, 300, 9.6921, 52.20226
Search, 300, 10.25972, 62.46198
Search, 300, 9.261187, 71.72317
Search, 300, 9.683196, 81.40636
Search, 300, 1.026433, 82.4328
Search, 300, 9.156283, 91.58908
Search, 300, 6.832917, 98.422
Search, 300, 1.631169, 100.0532
Search, 300, 9.593739, 109.6469
Search, 300, 5.849742, 115.4967
Search, 300, 4.143821, 119.6405
Search, 300, 6.170272, 125.8107
Search, 300, 2.544087, 128.3548
Search, 300, 0.9868417, 129.3417
Search, 300, 4.293018, 133.6347
Search, 300, 3.474598, 137.1093
Search, 300, 3.838088, 140.9474
Search, 300, 4.565406, 145.5128
Search, 300, 2.677269, 148.19
Search, 300, 4.04766, 152.2377
Search, 300, 1.034673, 153.2724
Search, 300, 0.8824822, 154.1548
Search, 300, 0.6475963, 154.8024
Search, 300, 4.379744, 159.1822
Search, 300, 5.535691, 164.7179
Search, 300, 3.986105, 168.704
Search, 300, 5.06998, 173.7739
Search, 300, 3.016667, 176.7906
Search, 300, 1.616667, 178.4073
Search, 300, 3.23048, 181.6378
Search, 300, 6.105923, 187.7437
Search, 300, 4.774759, 192.5184
Search, 300, 1.332219, 193.8507
Search, 300, 3.422477, 197.2731
Search, 300, 6.964139, 204.2373
Search, 300, 1.885854, 206.1231
Search, 300, 2.603457, 208.7266
Search, 300, 5.121858, 213.8484
Search, 300, 4.935064, 218.7835
Search, 300, 0.5579784, 219.3415
Search, 300, 3.800173, 223.1416
Search, 300, 9.465388, 232.607
Search, 300, 3.466989, 236.074
Search, 300, 5.062088, 241.1361
Search, 300, 3.545656, 244.6818
Search, 300, 3.385708, 248.0675
Search, 300, 3.211866, 251.2794
Search, 300, 2.750312, 254.0297
Search, 300, 3.506346, 257.536
Search, 300, 4.052821, 261.5888
Search, 300, 3.8188, 265.4076
Search, 300, 4.046229, 269.4539
Search, 300, 5.93386, 275.3877
Search, 300, 10.21335, 285.6011
Search, 300, 5.178736, 290.7798
Search, 300, 0.9326324, 291.7124
Search, 300, 0.5741739, 292.2866
Search, 300, 3.081418, 295.368
Search, 300, 1.135565, 296.5036
Search, 300, 2.477205, 298.9808
Search, 300, 2.976912, 301.9577
Search, 300, 7.333305, 309.291
Search, 300, 4.924085, 314.2151
Search, 300, 5.628871, 319.844
Search, 300, 1.759828, 321.6038
Search, 300, 2.422434, 324.0262
Search, 300, 3.225977, 327.2522
Search, 300, 1.504752, 328.757
Search, 300, 0.6073791, 329.3643
Search, 300, 2.207545, 331.5719
Search, 300, 4.689826, 336.2617
Search, 300, 5.522269, 341.784
Search, 300, 4.052119, 345.8361
Search, 300, 0.5376934, 346.3738
Search, 300, 2.418271, 348.7921
Search, 300, 3.780231, 352.5723
Search, 300, 5.022327, 357.5947
Search, 300, 8.170778, 365.7654
Search, 300, 3.448211, 369.2137
Search, 300, 1.301981, 370.5156
Search, 300, 3.364349, 373.88
Search, 300, 4.449278, 378.3293
Search, 300, 3.342267, 381.6715
Search, 300, 1.374329, 383.0458
Search, 300, 7.976202, 391.022
Search, 300, 4.278175, 395.3002
Search, 300, 2.210698, 397.5109
Search, 300, 4.275651, 401.7866
Search, 300, 5.609289, 407.3958
Search, 300, 5.009015, 412.4048
Search, 300, 3.55577, 415.9606
Search, 300, 3.310338, 419.2709
Search, 300, 6.81417, 426.0851
Search, 300, 2.616513, 428.7016
Search, 300, 6.052268, 434.7539
Search, 300, 6.57042, 441.3243
Search, 300, 1.33311, 442.6574
Search, 300, 2.081836, 444.7393
Search, 300, 5.975068, 450.7144
Search, 300, 5.023361, 455.7377
Search, 300, 1.953523, 457.6913
Search, 300, 3.871087, 461.5623
Search, 300, 3.780069, 465.3424
Search, 300, 5.984082, 471.3265
Search, 300, 3.017942, 474.3444
Search, 300, 3.655147, 477.9996
Search, 300, 1.159797, 479.1594
Search, 300, 1.057253, 480.2166
Search, 300, 5.179564, 485.3962
